Q1-State,Q2-County,Q3-2017,Q4-2018,Q5-2019,Q6-2020
Alabama,Autauga,1587695,1602077,,1520973
Alabama,Baldwin,6453588,6799715,7134734,6985901
Alabama,Barbour,721125,730518,729105,687074
Alabama,Bibb,353234,None,380453,388330
Alabama,Blount,920401,967135,932215,881874
Alabama,Bullock,225304,235358,247229,    
Alabama,Butler,584855,609244,615641,574717
Alabama,Calhoun,3904458,3959304,4114829,3982561
Alabama,Chambers,785046,807107,817533,808162
Alabama,Cherokee,508778,540834,527358,475640
Alabama,Chilton,880016,918168,980365,957204
Alabama,Choctaw,505673,546076,492926,488633
Alabama,Clarke,728113,750365,736710,730025
Alabama,Clay,368300,444465,419318,407934
Alabama,Cleburne,297209,302347,274512,260207
Alabama,Coffee,1301763,1326701,1315749,1249738
Alabama,Colbert,2268306,2363329,2341000,2367932
Alabama,Conecuh,538017,488194,466540,435791
Alabama,Coosa,169996,178018,176482,180648
Alabama,Covington,1165463,1166050,1100109,1051514
Alabama,Crenshaw,419898,448270,428320,374307
Alabama,Cullman,2598508,2601327,2649646,2567437
Alabama,Dale,2591882,2514046,2522516,2427204
Alabama,Dallas,1118491,1122110,1102126,1053089
Alabama,DeKalb,1847471,1921659,1857673,1777822
Alabama,Elmore,1777348,1789092,1809270,1709154
Alabama,Escambia,1238865,1215138,1206764,1153705
Alabama,Etowah,2809493,2841049,2766192,2563314
Alabama,Fayette,320476,316814,321519,305877
Alabama,Franklin,907706,962638,926671,890896
Alabama,Geneva,503896,502402,526336,488863
Alabama,Greene,210124,209945,218149,197615
Alabama,Hale,271623,246837,241685,241617
Alabama,Henry,391731,396376,407934,389768
Alabama,Houston,4867988,4880057,4957322,4788927
Alabama,Jackson,1378489,1437962,1381755,1313862
Alabama,Jefferson,40364992,41028930,41244762,39199550
Alabama,Lamar,309283,304861,305015,287202
Alabama,Lauderdale,2374775,2371552,2367072,2298418
Alabama,Lawrence,478923,504193,501518,524136
Alabama,Lee,5448360,5389074,5603187,5570011
Alabama,Limestone,3411295,3385841,3572973,3482707
Alabama,Lowndes,418011,399841,377807,363769
Alabama,Macon,487572,481537,478726,475374
Alabama,Madison,21789269,22720023,23670284,23543852
Alabama,Marengo,642708,672252,681595,674690
Alabama,Marion,798214,810967,792988,763653
Alabama,Marshall,3164613,3245603,3276199,3200499
Alabama,Mobile,18215505,18455706,18652926,18079418
Alabama,Monroe,658871,629022,599556,568233
Alabama,Montgomery,12569243,12524276,12558288,12182340
Alabama,Morgan,5034458,5104998,5135887,5092131
Alabama,Perry,199944,196637,192844,183394
Alabama,Pickens,433779,427099,429936,404316
Alabama,Pike,1304003,1285265,1286294,1235839
Alabama,Randolph,474844,484942,464111,425424
Alabama,Russell,1323460,1315599,1313851,1285414
Alabama,St. Clair,1822443,1872929,1871513,1824570
Alabama,Shelby,10468422,10673132,10814962,10500006
Alabama,Sumter,308764,302068,294189,283683
Alabama,Talladega,2867439,2894807,2864298,2756664
Alabama,Tallapoosa,1190058,1213743,1265550,1225259
